"Town","FIPS","Year","Measure Type","Variable","Value"
"Burlington","0900310100","2016-2020","Number","Margins of Error",16366
"Burlington","0900310100","2016-2020","Ratio to State Median","Median Home Value",1.21
"Burlington","0900310100","2016-2020","Ratio to State Median","Margins of Error",0.06
"Canaan","0900510940","2006-2010","Number","Median Home Value",338800
"Canaan","0900510940","2006-2010","Number","Margins of Error",19804
"Canaan","0900510940","2006-2010","Ratio to State Median","Median Home Value",1.14
"Canaan","0900510940","2006-2010","Ratio to State Median","Margins of Error",0.07
"Canaan","0900510940","2007-2011","Number","Median Home Value",339900
"Canaan","0900510940","2007-2011","Number","Margins of Error",27770
"Canaan","0900510940","2007-2011","Ratio to State Median","Median Home Value",1.16
"Canaan","0900510940","2007-2011","Ratio to State Median","Margins of Error",0.09
"Canaan","0900510940","2008-2012","Number","Median Home Value",317300
"Canaan","0900510940","2008-2012","Number","Margins of Error",29338
"Canaan","0900510940","2008-2012","Ratio to State Median","Median Home Value",1.11
"Canaan","0900510940","2008-2012","Ratio to State Median","Margins of Error",0.1
"Canaan","0900510940","2009-2013","Number","Median Home Value",303000
"Canaan","0900510940","2009-2013","Number","Margins of Error",32140
"Canaan","0900510940","2009-2013","Ratio to State Median","Median Home Value",1.09
"Canaan","0900510940","2009-2013","Ratio to State Median","Margins of Error",0.12
"Canaan","0900510940","2010-2014","Number","Median Home Value",290300
"Canaan","0900510940","2010-2014","Number","Margins of Error",19976
"Canaan","0900510940","2010-2014","Ratio to State Median","Median Home Value",1.06
"Canaan","0900510940","2010-2014","Ratio to State Median","Margins of Error",0.07
"Canaan","0900510940","2011-2015","Number","Median Home Value",273400
"Canaan","0900510940","2011-2015","Number","Margins of Error",27518
"Canaan","0900510940","2011-2015","Ratio to State Median","Median Home Value",1.01
"Canaan","0900510940","2011-2015","Ratio to State Median","Margins of Error",0.1
"Canaan","0900510940","2012-2016","Number","Median Home Value",278700
"Canaan","0900510940","2012-2016","Number","Margins of Error",29911
"Canaan","0900510940","2012-2016","Ratio to State Median","Median Home Value",1.03
"Canaan","0900510940","2012-2016","Ratio to State Median","Margins of Error",0.11
"Canaan","0900510940","2013-2017","Number","Median Home Value",334100
"Canaan","0900510940","2013-2017","Number","Margins of Error",40770
"Canaan","0900510940","2013-2017","Ratio to State Median","Median Home Value",1.24
"Canaan","0900510940","2013-2017","Ratio to State Median","Margins of Error",0.15
"Canaan","0900510940","2014-2018","Number","Median Home Value",319800
"Canaan","0900510940","2014-2018","Number","Margins of Error",40702
"Canaan","0900510940","2014-2018","Ratio to State Median","Median Home Value",1.17
"Canaan","0900510940","2014-2018","Ratio to State Median","Margins of Error",0.15
"Canaan","0900510940","2015-2019","Number","Median Home Value",338800
"Canaan","0900510940","2015-2019","Number","Margins of Error",37795
"Canaan","0900510940","2015-2019","Ratio to State Median","Median Home Value",1.23
"Canaan","0900510940","2015-2019","Ratio to State Median","Margins of Error",0.14
"Canaan","0900510940","2016-2020","Number","Median Home Value",386800
"Canaan","0900510940","2016-2020","Number","Margins of Error",57297
"Canaan","0900510940","2016-2020","Ratio to State Median","Median Home Value",1.38
"Canaan","0900510940","2016-2020","Ratio to State Median","Margins of Error",0.2
"Canterbury","0901512130","2006-2010","Number","Median Home Value",259800
"Canterbury","0901512130","2006-2010","Number","Margins of Error",13867
"Canterbury","0901512130","2006-2010","Ratio to State Median","Median Home Value",0.88
"Canterbury","0901512130","2006-2010","Ratio to State Median","Margins of Error",0.05
"Canterbury","0901512130","2007-2011","Number","Median Home Value",262100
"Canterbury","0901512130","2007-2011","Number","Margins of Error",15391
"Canterbury","0901512130","2007-2011","Ratio to State Median","Median Home Value",0.89
"Canterbury","0901512130","2007-2011","Ratio to State Median","Margins of Error",0.05
"Canterbury","0901512130","2008-2012","Number","Median Home Value",249900
"Canterbury","0901512130","2008-2012","Number","Margins of Error",16466
"Canterbury","0901512130","2008-2012","Ratio to State Median","Median Home Value",0.87
"Canterbury","0901512130","2008-2012","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2009-2013","Number","Median Home Value",246300
"Canterbury","0901512130","2009-2013","Number","Margins of Error",17477
"Canterbury","0901512130","2009-2013","Ratio to State Median","Median Home Value",0.88
"Canterbury","0901512130","2009-2013","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2010-2014","Number","Median Home Value",228200
"Canterbury","0901512130","2010-2014","Number","Margins of Error",16561
"Canterbury","0901512130","2010-2014","Ratio to State Median","Median Home Value",0.83
"Canterbury","0901512130","2010-2014","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2011-2015","Number","Median Home Value",234200
"Canterbury","0901512130","2011-2015","Number","Margins of Error",22464
"Canterbury","0901512130","2011-2015","Ratio to State Median","Median Home Value",0.87
"Canterbury","0901512130","2011-2015","Ratio to State Median","Margins of Error",0.08
"Canterbury","0901512130","2012-2016","Number","Median Home Value",224000
"Canterbury","0901512130","2012-2016","Number","Margins of Error",17458
"Canterbury","0901512130","2012-2016","Ratio to State Median","Median Home Value",0.83
"Canterbury","0901512130","2012-2016","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2013-2017","Number","Median Home Value",220000
"Canterbury","0901512130","2013-2017","Number","Margins of Error",14917
"Canterbury","0901512130","2013-2017","Ratio to State Median","Median Home Value",0.81
"Canterbury","0901512130","2013-2017","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2014-2018","Number","Median Home Value",221000
"Canterbury","0901512130","2014-2018","Number","Margins of Error",15237
"Canterbury","0901512130","2014-2018","Ratio to State Median","Median Home Value",0.81
"Canterbury","0901512130","2014-2018","Ratio to State Median","Margins of Error",0.06
"Canterbury","0901512130","2015-2019","Number","Median Home Value",228200
"Canterbury","0901512130","2015-2019","Number","Margins of Error",11524
"Canterbury","0901512130","2015-2019","Ratio to State Median","Median Home Value",0.83
"Canterbury","0901512130","2015-2019","Ratio to State Median","Margins of Error",0.04
"Canterbury","0901512130","2016-2020","Number","Median Home Value",233900
"Canterbury","0901512130","2016-2020","Number","Margins of Error",12974
"Canterbury","0901512130","2016-2020","Ratio to State Median","Median Home Value",0.84
"Canterbury","0901512130","2016-2020","Ratio to State Median","Margins of Error",0.05
"Canton","0900312270","2006-2010","Number","Median Home Value",344300
"Canton","0900312270","2006-2010","Number","Margins of Error",12716
"Canton","0900312270","2006-2010","Ratio to State Median","Median Home Value",1.16
"Canton","0900312270","2006-2010","Ratio to State Median","Margins of Error",0.04
"Canton","0900312270","2007-2011","Number","Median Home Value",330700
"Canton","0900312270","2007-2011","Number","Margins of Error",12941
"Canton","0900312270","2007-2011","Ratio to State Median","Median Home Value",1.13
"Canton","0900312270","2007-2011","Ratio to State Median","Margins of Error",0.04
"Canton","0900312270","2008-2012","Number","Median Home Value",322300
"Canton","0900312270","2008-2012","Number","Margins of Error",18112
"Canton","0900312270","2008-2012","Ratio to State Median","Median Home Value",1.13
"Canton","0900312270","2008-2012","Ratio to State Median","Margins of Error",0.06
"Canton","0900312270","2009-2013","Number","Median Home Value",314000
"Canton","0900312270","2009-2013","Number","Margins of Error",19597
"Canton","0900312270","2009-2013","Ratio to State Median","Median Home Value",1.13
"Canton","0900312270","2009-2013","Ratio to State Median","Margins of Error",0.07
"Canton","0900312270","2010-2014","Number","Median Home Value",309400
"Canton","0900312270","2010-2014","Number","Margins of Error",22624
"Canton","0900312270","2010-2014","Ratio to State Median","Median Home Value",1.13
"Canton","0900312270","2010-2014","Ratio to State Median","Margins of Error",0.08
"Canton","0900312270","2011-2015","Number","Median Home Value",299200
"Canton","0900312270","2011-2015","Number","Margins of Error",16026
"Canton","0900312270","2011-2015","Ratio to State Median","Median Home Value",1.11
"Canton","0900312270","2011-2015","Ratio to State Median","Margins of Error",0.06
"Canton","0900312270","2012-2016","Number","Median Home Value",297400
"Canton","0900312270","2012-2016","Number","Margins of Error",15177
"Canton","0900312270","2012-2016","Ratio to State Median","Median Home Value",1.1
"Canton","0900312270","2012-2016","Ratio to State Median","Margins of Error",0.06
"Canton","0900312270","2013-2017","Number","Median Home Value",300700
"Canton","0900312270","2013-2017","Number","Margins of Error",19857
"Canton","0900312270","2013-2017","Ratio to State Median","Median Home Value",1.11
"Canton","0900312270","2013-2017","Ratio to State Median","Margins of Error",0.07
"Canton","0900312270","2014-2018","Number","Median Home Value",311800
"Canton","0900312270","2014-2018","Number","Margins of Error",19506
"Canton","0900312270","2014-2018","Ratio to State Median","Median Home Value",1.14
"Canton","0900312270","2014-2018","Ratio to State Median","Margins of Error",0.07
"Canton","0900312270","2015-2019","Number","Median Home Value",322500
"Canton","0900312270","2015-2019","Number","Margins of Error",18558
"Canton","0900312270","2015-2019","Ratio to State Median","Median Home Value",1.17
"Canton","0900312270","2015-2019","Ratio to State Median","Margins of Error",0.07
"Canton","0900312270","2016-2020","Number","Median Home Value",328500
"Canton","0900312270","2016-2020","Number","Margins of Error",18407
"Canton","0900312270","2016-2020","Ratio to State Median","Median Home Value",1.17
"Canton","0900312270","2016-2020","Ratio to State Median","Margins of Error",0.07
"Chaplin","0901513810","2006-2010","Number","Median Home Value",232600
"Chaplin","0901513810","2006-2010","Number","Margins of Error",14861
"Chaplin","0901513810","2006-2010","Ratio to State Median","Median Home Value",0.78
"Chaplin","0901513810","2006-2010","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2007-2011","Number","Median Home Value",230200
"Chaplin","0901513810","2007-2011","Number","Margins of Error",16392
"Chaplin","0901513810","2007-2011","Ratio to State Median","Median Home Value",0.79
"Chaplin","0901513810","2007-2011","Ratio to State Median","Margins of Error",0.06
"Chaplin","0901513810","2008-2012","Number","Median Home Value",230800
"Chaplin","0901513810","2008-2012","Number","Margins of Error",16880
"Chaplin","0901513810","2008-2012","Ratio to State Median","Median Home Value",0.81
"Chaplin","0901513810","2008-2012","Ratio to State Median","Margins of Error",0.06
"Chaplin","0901513810","2009-2013","Number","Median Home Value",218800
"Chaplin","0901513810","2009-2013","Number","Margins of Error",13716
"Chaplin","0901513810","2009-2013","Ratio to State Median","Median Home Value",0.78
"Chaplin","0901513810","2009-2013","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2010-2014","Number","Median Home Value",214100
"Chaplin","0901513810","2010-2014","Number","Margins of Error",13923
"Chaplin","0901513810","2010-2014","Ratio to State Median","Median Home Value",0.78
"Chaplin","0901513810","2010-2014","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2011-2015","Number","Median Home Value",206000
"Chaplin","0901513810","2011-2015","Number","Margins of Error",12886
"Chaplin","0901513810","2011-2015","Ratio to State Median","Median Home Value",0.76
"Chaplin","0901513810","2011-2015","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2012-2016","Number","Median Home Value",200500
"Chaplin","0901513810","2012-2016","Number","Margins of Error",12854
"Chaplin","0901513810","2012-2016","Ratio to State Median","Median Home Value",0.74
"Chaplin","0901513810","2012-2016","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2013-2017","Number","Median Home Value",195300
"Chaplin","0901513810","2013-2017","Number","Margins of Error",12910
"Chaplin","0901513810","2013-2017","Ratio to State Median","Median Home Value",0.72
"Chaplin","0901513810","2013-2017","Ratio to State Median","Margins of Error",0.05
"Chaplin","0901513810","2014-2018","Number","Median Home Value",202000
"Chaplin","0901513810","2014-2018","Number","Margins of Error",15811
"Chaplin","0901513810","2014-2018","Ratio to State Median","Median Home Value",0.74
"Chaplin","0901513810","2014-2018","Ratio to State Median","Margins of Error",0.06
"Chaplin","0901513810","2015-2019","Number","Median Home Value",207600
"Chaplin","0901513810","2015-2019","Number","Margins of Error",12177
"Chaplin","0901513810","2015-2019","Ratio to State Median","Median Home Value",0.75
"Chaplin","0901513810","2015-2019","Ratio to State Median","Margins of Error",0.04
"Chaplin","0901513810","2016-2020","Number","Median Home Value",206300
"Chaplin","0901513810","2016-2020","Number","Margins of Error",12937
"Chaplin","0901513810","2016-2020","Ratio to State Median","Median Home Value",0.74
"Chaplin","0901513810","2016-2020","Ratio to State Median","Margins of Error",0.05
"Cheshire","0900914160","2006-2010","Number","Median Home Value",359700
"Cheshire","0900914160","2006-2010","Number","Margins of Error",8034
"Cheshire","0900914160","2006-2010","Ratio to State Median","Median Home Value",1.21
"Cheshire","0900914160","2006-2010","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2007-2011","Number","Median Home Value",358200
"Cheshire","0900914160","2007-2011","Number","Margins of Error",7814
"Cheshire","0900914160","2007-2011","Ratio to State Median","Median Home Value",1.22
"Cheshire","0900914160","2007-2011","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2008-2012","Number","Median Home Value",349800
"Cheshire","0900914160","2008-2012","Number","Margins of Error",8512
"Cheshire","0900914160","2008-2012","Ratio to State Median","Median Home Value",1.22
"Cheshire","0900914160","2008-2012","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2009-2013","Number","Median Home Value",345700
"Cheshire","0900914160","2009-2013","Number","Margins of Error",9393
"Cheshire","0900914160","2009-2013","Ratio to State Median","Median Home Value",1.24
"Cheshire","0900914160","2009-2013","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2010-2014","Number","Median Home Value",340000
"Cheshire","0900914160","2010-2014","Number","Margins of Error",7676
"Cheshire","0900914160","2010-2014","Ratio to State Median","Median Home Value",1.24
"Cheshire","0900914160","2010-2014","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2011-2015","Number","Median Home Value",337800
"Cheshire","0900914160","2011-2015","Number","Margins of Error",8472
"Cheshire","0900914160","2011-2015","Ratio to State Median","Median Home Value",1.25
"Cheshire","0900914160","2011-2015","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2012-2016","Number","Median Home Value",330600
"Cheshire","0900914160","2012-2016","Number","Margins of Error",7714
"Cheshire","0900914160","2012-2016","Ratio to State Median","Median Home Value",1.23
"Cheshire","0900914160","2012-2016","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2013-2017","Number","Median Home Value",329000
"Cheshire","0900914160","2013-2017","Number","Margins of Error",8910
"Cheshire","0900914160","2013-2017","Ratio to State Median","Median Home Value",1.22
"Cheshire","0900914160","2013-2017","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2014-2018","Number","Median Home Value",332600
"Cheshire","0900914160","2014-2018","Number","Margins of Error",9128
"Cheshire","0900914160","2014-2018","Ratio to State Median","Median Home Value",1.22
"Cheshire","0900914160","2014-2018","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2015-2019","Number","Median Home Value",334900
"Cheshire","0900914160","2015-2019","Number","Margins of Error",8369
"Cheshire","0900914160","2015-2019","Ratio to State Median","Median Home Value",1.22
"Cheshire","0900914160","2015-2019","Ratio to State Median","Margins of Error",0.03
"Cheshire","0900914160","2016-2020","Number","Median Home Value",338800
"Cheshire","0900914160","2016-2020","Number","Margins of Error",10080
"Cheshire","0900914160","2016-2020","Ratio to State Median","Median Home Value",1.21
"Cheshire","0900914160","2016-2020","Ratio to State Median","Margins of Error",0.04
"Chester","0900714300","2006-2010","Number","Median Home Value",325300
"Chester","0900714300","2006-2010","Number","Margins of Error",23640
"Chester","0900714300","2006-2010","Ratio to State Median","Median Home Value",1.1
"Chester","0900714300","2006-2010","Ratio to State Median","Margins of Error",0.08
"Chester","0900714300","2007-2011","Number","Median Home Value",313300
"Chester","0900714300","2007-2011","Number","Margins of Error",29442
"Chester","0900714300","2007-2011","Ratio to State Median","Median Home Value",1.07
"Chester","0900714300","2007-2011","Ratio to State Median","Margins of Error",0.1
"Chester","0900714300","2008-2012","Number","Median Home Value",293600
"Chester","0900714300","2008-2012","Number","Margins of Error",23004
"Chester","0900714300","2008-2012","Ratio to State Median","Median Home Value",1.03
"Chester","0900714300","2008-2012","Ratio to State Median","Margins of Error",0.08
"Chester","0900714300","2009-2013","Number","Median Home Value",314800
"Chester","0900714300","2009-2013","Number","Margins of Error",28010
"Chester","0900714300","2009-2013","Ratio to State Median","Median Home Value",1.13
"Chester","0900714300","2009-2013","Ratio to State Median","Margins of Error",0.1
"Chester","0900714300","2010-2014","Number","Median Home Value",316800
"Chester","0900714300","2010-2014","Number","Margins of Error",30370
"Chester","0900714300","2010-2014","Ratio to State Median","Median Home Value",1.15
"Chester","0900714300","2010-2014","Ratio to State Median","Margins of Error",0.11
"Chester","0900714300","2011-2015","Number","Median Home Value",330400
"Chester","0900714300","2011-2015","Number","Margins of Error",32666
"Chester","0900714300","2011-2015","Ratio to State Median","Median Home Value",1.22
"Chester","0900714300","2011-2015","Ratio to State Median","Margins of Error",0.12
"Chester","0900714300","2012-2016","Number","Median Home Value",354300
"Chester","0900714300","2012-2016","Number","Margins of Error",23714
"Chester","0900714300","2012-2016","Ratio to State Median","Median Home Value",1.32
"Chester","0900714300","2012-2016","Ratio to State Median","Margins of Error",0.09
"Chester","0900714300","2013-2017","Number","Median Home Value",358400
"Chester","0900714300","2013-2017","Number","Margins of Error",28084
"Chester","0900714300","2013-2017","Ratio to State Median","Median Home Value",1.33
"Chester","0900714300","2013-2017","Ratio to State Median","Margins of Error",0.1
"Chester","0900714300","2014-2018","Number","Median Home Value",346800
"Chester","0900714300","2014-2018","Number","Margins of Error",19128
"Chester","0900714300","2014-2018","Ratio to State Median","Median Home Value",1.27
"Chester","0900714300","2014-2018","Ratio to State Median","Margins of Error",0.07
"Chester","0900714300","2015-2019","Number","Median Home Value",348700
"Chester","0900714300","2015-2019","Number","Margins of Error",20208
"Chester","0900714300","2015-2019","Ratio to State Median","Median Home Value",1.27
"Chester","0900714300","2015-2019","Ratio to State Median","Margins of Error",0.07
"Chester","0900714300","2016-2020","Number","Median Home Value",336900
"Chester","0900714300","2016-2020","Number","Margins of Error",20992
"Chester","0900714300","2016-2020","Ratio to State Median","Median Home Value",1.2
"Chester","0900714300","2016-2020","Ratio to State Median","Margins of Error",0.08
"Clinton","0900715350","2006-2010","Number","Median Home Value",306800
"Clinton","0900715350","2006-2010","Number","Margins of Error",12622
"Clinton","0900715350","2006-2010","Ratio to State Median","Median Home Value",1.03
"Clinton","0900715350","2006-2010","Ratio to State Median","Margins of Error",0.04
"Clinton","0900715350","2007-2011","Number","Median Home Value",295500
"Clinton","0900715350","2007-2011","Number","Margins of Error",8661
"Clinton","0900715350","2007-2011","Ratio to State Median","Median Home Value",1.01
"Clinton","0900715350","2007-2011","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2008-2012","Number","Median Home Value",291000
"Clinton","0900715350","2008-2012","Number","Margins of Error",7854
"Clinton","0900715350","2008-2012","Ratio to State Median","Median Home Value",1.02
"Clinton","0900715350","2008-2012","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2009-2013","Number","Median Home Value",283200
"Clinton","0900715350","2009-2013","Number","Margins of Error",6167
"Clinton","0900715350","2009-2013","Ratio to State Median","Median Home Value",1.02
"Clinton","0900715350","2009-2013","Ratio to State Median","Margins of Error",0.02
"Clinton","0900715350","2010-2014","Number","Median Home Value",280600
"Clinton","0900715350","2010-2014","Number","Margins of Error",5959
"Clinton","0900715350","2010-2014","Ratio to State Median","Median Home Value",1.02
"Clinton","0900715350","2010-2014","Ratio to State Median","Margins of Error",0.02
"Clinton","0900715350","2011-2015","Number","Median Home Value",283100
"Clinton","0900715350","2011-2015","Number","Margins of Error",7526
"Clinton","0900715350","2011-2015","Ratio to State Median","Median Home Value",1.05
"Clinton","0900715350","2011-2015","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2012-2016","Number","Median Home Value",286200
"Clinton","0900715350","2012-2016","Number","Margins of Error",8581
"Clinton","0900715350","2012-2016","Ratio to State Median","Median Home Value",1.06
"Clinton","0900715350","2012-2016","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2013-2017","Number","Median Home Value",288000
"Clinton","0900715350","2013-2017","Number","Margins of Error",8437
"Clinton","0900715350","2013-2017","Ratio to State Median","Median Home Value",1.07
"Clinton","0900715350","2013-2017","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2014-2018","Number","Median Home Value",287700
"Clinton","0900715350","2014-2018","Number","Margins of Error",8363
"Clinton","0900715350","2014-2018","Ratio to State Median","Median Home Value",1.06
"Clinton","0900715350","2014-2018","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2015-2019","Number","Median Home Value",282000
"Clinton","0900715350","2015-2019","Number","Margins of Error",7461
"Clinton","0900715350","2015-2019","Ratio to State Median","Median Home Value",1.02
"Clinton","0900715350","2015-2019","Ratio to State Median","Margins of Error",0.03
"Clinton","0900715350","2016-2020","Number","Median Home Value",288000
"Clinton","0900715350","2016-2020","Number","Margins of Error",8554
"Clinton","0900715350","2016-2020","Ratio to State Median","Median Home Value",1.03
"Clinton","0900715350","2016-2020","Ratio to State Median","Margins of Error",0.03
"Colchester","0901115910","2006-2010","Number","Median Home Value",282600
"Colchester","0901115910","2006-2010","Number","Margins of Error",13633
"Colchester","0901115910","2006-2010","Ratio to State Median","Median Home Value",0.95
"Colchester","0901115910","2006-2010","Ratio to State Median","Margins of Error",0.05
"Colchester","0901115910","2007-2011","Number","Median Home Value",286100
"Colchester","0901115910","2007-2011","Number","Margins of Error",14257
"Colchester","0901115910","2007-2011","Ratio to State Median","Median Home Value",0.98
"Colchester","0901115910","2007-2011","Ratio to State Median","Margins of Error",0.05
"Colchester","0901115910","2008-2012","Number","Median Home Value",277900
"Colchester","0901115910","2008-2012","Number","Margins of Error",8844
"Colchester","0901115910","2008-2012","Ratio to State Median","Median Home Value",0.97
"Colchester","0901115910","2008-2012","Ratio to State Median","Margins of Error",0.03
"Colchester","0901115910","2009-2013","Number","Median Home Value",277800
"Colchester","0901115910","2009-2013","Number","Margins of Error",9412
"Colchester","0901115910","2009-2013","Ratio to State Median","Median Home Value",1
"Colchester","0901115910","2009-2013","Ratio to State Median","Margins of Error",0.03
"Colchester","0901115910","2010-2014","Number","Median Home Value",275700
"Colchester","0901115910","2010-2014","Number","Margins of Error",8134
"Colchester","0901115910","2010-2014","Ratio to State Median","Median Home Value",1
"Colchester","0901115910","2010-2014","Ratio to State Median","Margins of Error",0.03
"Colchester","0901115910","2011-2015","Number","Median Home Value",274400
"Colchester","0901115910","2011-2015","Number","Margins of Error",10984
"Colchester","0901115910","2011-2015","Ratio to State Median","Median Home Value",1.01
"Colchester","0901115910","2011-2015","Ratio to State Median","Margins of Error",0.04
"Colchester","0901115910","2012-2016","Number","Median Home Value",268500
"Colchester","0901115910","2012-2016","Number","Margins of Error",8696
"Colchester","0901115910","2012-2016","Ratio to State Median","Median Home Value",1
"Colchester","0901115910","2012-2016","Ratio to State Median","Margins of Error",0.03
"Colchester","0901115910","2013-2017","Number","Median Home Value",254000
"Colchester","0901115910","2013-2017","Number","Margins of Error",9779
"Colchester","0901115910","2013-2017","Ratio to State Median","Median Home Value",0.94
"Colchester","0901115910","2013-2017","Ratio to State Median","Margins of Error",0.04
"Colchester","0901115910","2014-2018","Number","Median Home Value",253300
"Colchester","0901115910","2014-2018","Number","Margins of Error",11385
"Colchester","0901115910","2014-2018","Ratio to State Median","Median Home Value",0.93
"Colchester","0901115910","2014-2018","Ratio to State Median","Margins of Error",0.04
"Colchester","0901115910","2015-2019","Number","Median Home Value",255500
"Colchester","0901115910","2015-2019","Number","Margins of Error",13354
"Colchester","0901115910","2015-2019","Ratio to State Median","Median Home Value",0.93
"Colchester","0901115910","2015-2019","Ratio to State Median","Margins of Error",0.05
"Colchester","0901115910","2016-2020","Number","Median Home Value",267500
"Colchester","0901115910","2016-2020","Number","Margins of Error",12023
"Colchester","0901115910","2016-2020","Ratio to State Median","Median Home Value",0.96
"Colchester","0901115910","2016-2020","Ratio to State Median","Margins of Error",0.04
"Colebrook","0900516050","2006-2010","Number","Median Home Value",279700
"Colebrook","0900516050","2006-2010","Number","Margins of Error",15976
"Colebrook","0900516050","2006-2010","Ratio to State Median","Median Home Value",0.94
"Colebrook","0900516050","2006-2010","Ratio to State Median","Margins of Error",0.05
"Colebrook","0900516050","2007-2011","Number","Median Home Value",281900
"Colebrook","0900516050","2007-2011","Number","Margins of Error",12820
"Colebrook","0900516050","2007-2011","Ratio to State Median","Median Home Value",0.96
"Colebrook","0900516050","2007-2011","Ratio to State Median","Margins of Error",0.04
"Colebrook","0900516050","2008-2012","Number","Median Home Value",293300
"Colebrook","0900516050","2008-2012","Number","Margins of Error",18004
"Colebrook","0900516050","2008-2012","Ratio to State Median","Median Home Value",1.03
"Colebrook","0900516050","2008-2012","Ratio to State Median","Margins of Error",0.06
"Colebrook","0900516050","2009-2013","Number","Median Home Value",290000
"Colebrook","0900516050","2009-2013","Number","Margins of Error",18635
"Colebrook","0900516050","2009-2013","Ratio to State Median","Median Home Value",1.04
"Colebrook","0900516050","2009-2013","Ratio to State Median","Margins of Error",0.07
"Colebrook","0900516050","2010-2014","Number","Median Home Value",293700
"Colebrook","0900516050","2010-2014","Number","Margins of Error",22282
"Colebrook","0900516050","2010-2014","Ratio to State Median","Median Home Value",1.07
"Colebrook","0900516050","2010-2014","Ratio to State Median","Margins of Error",0.08
"Colebrook","0900516050","2011-2015","Number","Median Home Value",289200
"Colebrook","0900516050","2011-2015","Number","Margins of Error",20921
"Colebrook","0900516050","2011-2015","Ratio to State Median","Median Home Value",1.07
"Colebrook","0900516050","2011-2015","Ratio to State Median","Margins of Error",0.08
"Colebrook","0900516050","2012-2016","Number","Median Home Value",270700
"Colebrook","0900516050","2012-2016","Number","Margins of Error",19253
"Colebrook","0900516050","2012-2016","Ratio to State Median","Median Home Value",1.01
"Colebrook","0900516050","2012-2016","Ratio to State Median","Margins of Error",0.07
"Colebrook","0900516050","2013-2017","Number","Median Home Value",262100
"Colebrook","0900516050","2013-2017","Number","Margins of Error",18509
"Colebrook","0900516050","2013-2017","Ratio to State Median","Median Home Value",0.97
"Colebrook","0900516050","2013-2017","Ratio to State Median","Margins of Error",0.07
"Colebrook","0900516050","2014-2018","Number","Median Home Value",242700
"Colebrook","0900516050","2014-2018","Number","Margins of Error",26763
"Colebrook","0900516050","2014-2018","Ratio to State Median","Median Home Value",0.89
"Colebrook","0900516050","2014-2018","Ratio to State Median","Margins of Error",0.1
"Colebrook","0900516050","2015-2019","Number","Median Home Value",255800
"Colebrook","0900516050","2015-2019","Number","Margins of Error",20873
"Colebrook","0900516050","2015-2019","Ratio to State Median","Median Home Value",0.93
"Colebrook","0900516050","2015-2019","Ratio to State Median","Margins of Error",0.08
"Colebrook","0900516050","2016-2020","Number","Median Home Value",262200
"Colebrook","0900516050","2016-2020","Number","Margins of Error",24168
"Colebrook","0900516050","2016-2020","Ratio to State Median","Median Home Value",0.94
"Colebrook","0900516050","2016-2020","Ratio to State Median","Margins of Error",0.09
"Columbia","0901316400","2006-2010","Number","Median Home Value",278900
"Columbia","0901316400","2006-2010","Number","Margins of Error",15052
"Columbia","0901316400","2006-2010","Ratio to State Median","Median Home Value",0.94
"Columbia","0901316400","2006-2010","Ratio to State Median","Margins of Error",0.05
"Columbia","0901316400","2007-2011","Number","Median Home Value",279100
"Columbia","0901316400","2007-2011","Number","Margins of Error",16809
"Columbia","0901316400","2007-2011","Ratio to State Median","Median Home Value",0.95
"Columbia","0901316400","2007-2011","Ratio to State Median","Margins of Error",0.06
"Columbia","0901316400","2008-2012","Number","Median Home Value",279200
"Columbia","0901316400","2008-2012","Number","Margins of Error",15904
"Columbia","0901316400","2008-2012","Ratio to State Median","Median Home Value",0.98
"Columbia","0901316400","2008-2012","Ratio to State Median","Margins of Error",0.06
"Columbia","0901316400","2009-2013","Number","Median Home Value",263100
"Columbia","0901316400","2009-2013","Number","Margins of Error",19046
"Columbia","0901316400","2009-2013","Ratio to State Median","Median Home Value",0.94
